Сегодня, 10.12.2021 19:25:46		Задача завершена	Задача завершена										MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.159.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.159.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.158.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.158.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.157.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.157.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.156.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.156.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.155.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.155.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.154.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.154.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.153.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.153.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.152.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.152.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.151.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.151.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.150.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.150.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.149.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.149.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.148.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.148.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.147.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.147.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.146.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.146.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.145.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.145.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.144.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.144.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.143.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.143.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.142.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.142.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.141.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.141.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.140.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.140.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.139.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.139.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.138.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.138.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.137.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.137.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.136.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.136.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.135.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.135.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.134.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.134.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.133.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.133.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.132.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.132.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.131.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.131.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.130.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.130.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.129.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.129.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.128.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.128.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.127.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.127.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.126.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.126.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.125.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.125.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.124.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.124.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
Сегодня, 10.12.2021 19:25:46	C:\Users\IEUser\Desktop\out.zip\out\bit.123.exe	Удалено	Объект удален	Trojan.Win32.Shelma.ind		Файл	C:\Users\IEUser\Desktop\out.zip//out	bit.123.exe	Удалено	Троянская программа	Высокая	Точно	MSEDGEWIN10\IEUser	Активный пользователь
